Temperature,Forecast,WindSpeed,WindDirection,Precipitation,Pressure,From,To
13,Cloudy,4.0,178.4,0.0,1004.0,2015-04-25T13:00:00,2015-04-25T14:00:00
12,Cloudy,4.4,170.4,0.0,1003.8,2015-04-25T14:00:00,2015-04-25T15:00:00
12,Cloudy,3.9,164.9,0.0,1003.2,2015-04-25T15:00:00,2015-04-25T16:00:00
11,Cloudy,3.9,160.9,0.0,1002.8,2015-04-25T16:00:00,2015-04-25T17:00:00
11,Cloudy,3.5,161.4,0.0,1002.1,2015-04-25T17:00:00,2015-04-25T18:00:00
10,Cloudy,3.2,158.9,0.0,1001.6,2015-04-25T18:00:00,2015-04-25T19:00:00
9,Cloudy,2.4,170.1,0.0,1001.2,2015-04-25T19:00:00,2015-04-25T20:00:00
8,Cloudy,2.2,160.1,0.0,1000.9,2015-04-25T20:00:00,2015-04-25T21:00:00
7,Cloudy,2.4,177.4,0.0,1000.8,2015-04-25T21:00:00,2015-04-25T22:00:00
8,Cloudy,2.3,172.1,0.0,1000.5,2015-04-25T22:00:00,2015-04-25T23:00:00
8,Cloudy,2.4,193.9,0.0,1000.3,2015-04-25T23:00:00,2015-04-26T00:00:00
7,Cloudy,1.9,186.6,0.0,1000.2,2015-04-26T00:00:00,2015-04-26T01:00:00
7,Cloudy,1.6,187.9,0.0,1000.0,2015-04-26T01:00:00,2015-04-26T02:00:00
7,Partly cloudy,1.7,204.5,0.0,999.9,2015-04-26T02:00:00,2015-04-26T03:00:00
7,Partly cloudy,1.9,219.8,0.0,999.6,2015-04-26T03:00:00,2015-04-26T04:00:00
7,Cloudy,1.7,207.8,0.0,999.5,2015-04-26T04:00:00,2015-04-26T05:00:00
7,Cloudy,2.5,224.5,0.0,999.6,2015-04-26T05:00:00,2015-04-26T06:00:00
8,Cloudy,2.5,237.7,0.0,999.7,2015-04-26T06:00:00,2015-04-26T07:00:00
9,Partly cloudy,3.0,237.4,0.0,999.9,2015-04-26T07:00:00,2015-04-26T08:00:00
10,Cloudy,3.0,232.1,0.0,1000.3,2015-04-26T08:00:00,2015-04-26T09:00:00
11,Partly cloudy,3.1,251.4,0.0,1000.5,2015-04-26T09:00:00,2015-04-26T10:00:00
12,Partly cloudy,3.2,259.9,0.0,1000.7,2015-04-26T10:00:00,2015-04-26T11:00:00
14,Partly cloudy,2.8,239.9,0.0,1000.8,2015-04-26T11:00:00,2015-04-26T12:00:00
15,Partly cloudy,2.4,252.8,0.0,1000.9,2015-04-26T12:00:00,2015-04-26T13:00:00
13,Cloudy,3.4,215.7,0.0,1003.9,2015-04-24T13:00:00,2015-04-24T18:00:00
11,Cloudy,3.6,266.3,0.0,1003.1,2015-04-24T18:00:00,2015-04-25T00:00:00
7,Cloudy,2.7,149.8,0.0,1002.1,2015-04-25T00:00:00,2015-04-25T06:00:00
7,Rain,2.8,186.6,1.3,1000.5,2015-04-25T06:00:00,2015-04-25T12:00:00
10,Rain,4.8,152.2,2.2,998.9,2015-04-25T12:00:00,2015-04-25T18:00:00
11,Cloudy,6.8,176.8,0.1,995.6,2015-04-25T18:00:00,2015-04-26T00:00:00
8,Partly cloudy,6.8,177.5,0.0,995.2,2015-04-26T00:00:00,2015-04-26T06:00:00
4,Clear sky,3.4,243.5,0.0,997.6,2015-04-26T06:00:00,2015-04-26T12:00:00
11,Clear sky,1.7,203.3,0.0,1000.5,2015-04-26T12:00:00,2015-04-26T18:00:00
13,Clear sky,2.7,220.1,0.0,1000.4,2015-04-26T18:00:00,2015-04-27T00:00:00
2,Clear sky,0.6,3.0,0.0,1002.7,2015-04-27T02:00:00,2015-04-27T08:00:00
4,Partly cloudy,1.2,321.5,0.0,1001.3,2015-04-27T08:00:00,2015-04-27T14:00:00
11,Partly cloudy,2.5,174.5,0.0,1000.6,2015-04-27T14:00:00,2015-04-27T20:00:00
10,Partly cloudy,1.6,194.8,0.0,999.7,2015-04-27T20:00:00,2015-04-28T02:00:00
